hour,socializing_index_60min,hour_total_social,hour_total_ped,date
7,0,0,0,8/4/2024
8,0,0,1,8/4/2024
9,0,0,0,8/4/2024
10,0,0,4,8/4/2024
11,0,0,7,8/4/2024
12,0,0,5,8/4/2024
13,0,0,4,8/4/2024
14,0,0,3,8/4/2024
15,0,0,5,8/4/2024
16,0,0,4,8/4/2024
17,0,0,4,8/4/2024
18,0,0,1,8/4/2024
19,0,0,1,8/4/2024
20,0,0,2,8/4/2024
21,0,0,4,8/4/2024
22,0,0,0,8/4/2024
23,0,0,1,8/4/2024
6,0,0,0,8/5/2024
7,0,0,2,8/5/2024
8,0,0,2,8/5/2024
9,0,0,2,8/5/2024
10,0,0,5,8/5/2024
11,0,0,5,8/5/2024
12,0,0,6,8/5/2024
13,0,0,7,8/5/2024
14,0,0,4,8/5/2024
15,0,0,4,8/5/2024
16,0,0,4,8/5/2024
17,0,0,5,8/5/2024
18,0,0,3,8/5/2024
19,0,0,5,8/5/2024
20,0,0,2,8/5/2024
21,0,0,0,8/5/2024
22,0,0,1,8/5/2024
23,0,0,0,8/5/2024
6,0,0,1,8/6/2024
7,0,0,1,8/6/2024
8,0,0,2,8/6/2024
9,0,0,5,8/6/2024
10,0,0,4,8/6/2024
11,0,0,4,8/6/2024
12,0,0,9,8/6/2024
13,0,0,8,8/6/2024
14,0,0,6,8/6/2024
15,0,0,8,8/6/2024
16,0,0,4,8/6/2024
17,0,0,3,8/6/2024
18,0,0,2,8/6/2024
19,0,0,1,8/6/2024
20,0,0,0,8/6/2024
21,0,0,4,8/6/2024
22,0,0,0,8/6/2024
23,0,0,4,8/6/2024
